time,iterations,norm,size,nodes,threshold
0.0919682,2854,9.98783e-05,250,4,0.0001
0.0878983,2854,9.98783e-05,250,4,0.0001
0.0930561,2854,9.98783e-05,250,4,0.0001
0.0985291,2854,9.98783e-05,250,4,0.0001
0.0934371,2654,9.96151e-05,250,4,0.0001
0.0986069,2654,9.96151e-05,250,4,0.0001
0.0983899,2654,9.96151e-05,250,4,0.0001
0.100502,2654,9.96151e-05,250,4,0.0001
0.0931547,2654,9.96151e-05,250,4,0.0001
0.0995638,2654,9.96151e-05,250,4,0.0001
0.465367,5441,9.99147e-05,500,4,0.0001
0.521872,5336,9.98676e-05,500,4,0.0001
0.534858,5336,9.98676e-05,500,4,0.0001
0.53248,5442,9.98313e-05,500,4,0.0001
0.495801,5442,9.98313e-05,500,4,0.0001
0.486689,5457,9.98151e-05,500,4,0.0001
0.521826,5457,9.98151e-05,500,4,0.0001
0.491797,5611,9.99866e-05,500,4,0.0001
0.487072,5354,9.99856e-05,500,4,0.0001
0.497226,5354,9.99856e-05,500,4,0.0001
1.64748,8380,9.99946e-05,750,4,0.0001
1.79789,8626,9.99358e-05,750,4,0.0001
1.69405,8662,9.99252e-05,750,4,0.0001
1.71616,8575,9.99157e-05,750,4,0.0001
1.67282,8295,9.98968e-05,750,4,0.0001
1.90898,8260,9.9932e-05,750,4,0.0001
2.54652,8558,9.99857e-05,750,4,0.0001
2.47121,8569,9.98993e-05,750,4,0.0001
2.6198,8714,9.9953e-05,750,4,0.0001
2.50667,8462,9.98916e-05,750,4,0.0001
6.50315,12273,9.99403e-05,1000,4,0.0001
6.30305,11922,9.99894e-05,1000,4,0.0001
6.0443,11543,9.99407e-05,1000,4,0.0001
5.83098,11096,9.99605e-05,1000,4,0.0001
6.46002,12248,9.99226e-05,1000,4,0.0001
6.26417,11928,9.99779e-05,1000,4,0.0001
5.92325,11305,9.9904e-05,1000,4,0.0001
6.04898,11415,9.99357e-05,1000,4,0.0001
5.76395,11035,9.99233e-05,1000,4,0.0001
5.76402,10933,9.99601e-05,1000,4,0.0001
11.7808,16623,9.99407e-05,1250,4,0.0001
10.0387,14371,9.9919e-05,1250,4,0.0001
10.0723,14218,9.99389e-05,1250,4,0.0001
11.1399,15643,9.99681e-05,1250,4,0.0001
11.166,15786,9.99806e-05,1250,4,0.0001
11.2713,15535,9.99821e-05,1250,4,0.0001
10.8051,15184,9.99364e-05,1250,4,0.0001
10.4686,14563,9.99495e-05,1250,4,0.0001
10.1527,14142,9.99871e-05,1250,4,0.0001
10.2439,14433,9.99978e-05,1250,4,0.0001
17.0641,16682,9.99918e-05,1500,4,0.0001
18.2939,17957,9.99394e-05,1500,4,0.0001
17.5009,16986,9.99308e-05,1500,4,0.0001
17.5224,17394,9.99552e-05,1500,4,0.0001
17.6897,17386,9.99941e-05,1500,4,0.0001
19.2705,19255,9.99375e-05,1500,4,0.0001
17.8875,17828,9.99546e-05,1500,4,0.0001
17.8367,17728,9.99746e-05,1500,4,0.0001
17.1864,16338,9.99353e-05,1500,4,0.0001
19.1732,18782,9.99838e-05,1500,4,0.0001
25.7553,19020,9.99684e-05,1750,4,0.0001
25.0179,18431,9.99448e-05,1750,4,0.0001
26.6175,19606,9.99436e-05,1750,4,0.0001
31.3916,21490,9.9947e-05,1750,4,0.0001
36.3893,23899,9.99864e-05,1750,4,0.0001
27.541,19668,9.99938e-05,1750,4,0.0001
28.8555,21146,9.99642e-05,1750,4,0.0001
29.977,22190,9.99876e-05,1750,4,0.0001
29.6803,22041,9.99657e-05,1750,4,0.0001
35.4968,26369,9.99943e-05,1750,4,0.0001
39.9373,22821,9.99961e-05,2000,4,0.0001
44.1887,24767,9.99617e-05,2000,4,0.0001
37.7238,21280,9.99895e-05,2000,4,0.0001
39.7962,22456,9.99898e-05,2000,4,0.0001
41.6042,23352,9.99775e-05,2000,4,0.0001
47.5914,27079,9.99845e-05,2000,4,0.0001
42.3726,24069,9.99782e-05,2000,4,0.0001
42.9494,24370,9.99718e-05,2000,4,0.0001
38.0802,21554,9.99746e-05,2000,4,0.0001
42.7628,24367,9.99654e-05,2000,4,0.0001
