time,iterations,norm,size,nodes,threshold
0.80219,2382,9.95085e-05,1000,4,0.0001
0.853722,2348,9.96093e-05,1000,4,0.0001
0.819676,2433,9.97553e-05,1000,4,0.0001
0.882052,2433,9.97553e-05,1000,4,0.0001
0.788067,2246,9.98941e-05,1000,4,0.0001
0.86122,2349,9.96253e-05,1000,4,0.0001
0.800637,2316,9.99337e-05,1000,4,0.0001
0.829452,2430,9.97068e-05,1000,4,0.0001
0.790373,2281,9.99105e-05,1000,4,0.0001
0.894546,2352,9.96123e-05,1000,4,0.0001
2.98251,8315,9.99757e-05,1000,4,0.0001
3.10255,8388,9.99018e-05,1000,4,0.0001
3.7008,8262,9.99378e-05,1000,4,0.0001
4.4585,8362,9.99936e-05,1000,4,0.0001
4.43149,8538,9.98821e-05,1000,4,0.0001
4.39363,8461,9.98623e-05,1000,4,0.0001
4.43226,8439,9.98659e-05,1000,4,0.0001
4.33117,8290,9.99166e-05,1000,4,0.0001
4.59388,8791,9.99296e-05,1000,4,0.0001
4.35141,8318,9.99342e-05,1000,4,0.0001
7.72531,14733,9.99433e-05,1000,4,0.0001
8.60587,16356,9.99884e-05,1000,4,0.0001
8.98686,16699,9.99296e-05,1000,4,0.0001
8.42668,15878,9.99541e-05,1000,4,0.0001
8.38583,15759,9.99811e-05,1000,4,0.0001
7.25073,13793,9.99205e-05,1000,4,0.0001
6.98034,13224,9.99454e-05,1000,4,0.0001
7.49221,14236,9.99207e-05,1000,4,0.0001
9.57853,18046,9.99892e-05,1000,4,0.0001
7.76135,14701,9.99807e-05,1000,4,0.0001
11.0548,20924,9.99675e-05,1000,4,0.0001
11.1599,20798,9.99864e-05,1000,4,0.0001
13.6196,24696,9.9982e-05,1000,4,0.0001
11.2143,20527,9.99567e-05,1000,4,0.0001
10.0048,18366,9.99796e-05,1000,4,0.0001
9.97668,18470,9.99429e-05,1000,4,0.0001
11.6136,21884,9.99751e-05,1000,4,0.0001
11.392,21567,9.99723e-05,1000,4,0.0001
9.95109,18948,9.99929e-05,1000,4,0.0001
10.9963,20449,9.99898e-05,1000,4,0.0001
12.2658,22862,9.99746e-05,1000,4,0.0001
12.3334,23230,9.99938e-05,1000,4,0.0001
15.328,28763,9.99845e-05,1000,4,0.0001
15.338,28928,9.99933e-05,1000,4,0.0001
13.1467,24747,9.99957e-05,1000,4,0.0001
14.5517,27378,9.99573e-05,1000,4,0.0001
14.6117,27623,9.99667e-05,1000,4,0.0001
12.6118,23806,9.99836e-05,1000,4,0.0001
12.3442,23281,9.99941e-05,1000,4,0.0001
14.9402,28085,9.99854e-05,1000,4,0.0001
16.5027,31192,9.99793e-05,1000,4,0.0001
15.0875,28336,9.99669e-05,1000,4,0.0001
17.4273,32725,9.99867e-05,1000,4,0.0001
19.2978,36223,9.99708e-05,1000,4,0.0001
19.6072,36859,9.99834e-05,1000,4,0.0001
16.2853,30613,9.99859e-05,1000,4,0.0001
19.3097,36213,9.99938e-05,1000,4,0.0001
18.9628,35655,9.99765e-05,1000,4,0.0001
15.8447,28373,9.99699e-05,1000,4,0.0001
19.2825,35626,9.99776e-05,1000,4,0.0001
19.2673,36022,9.99822e-05,1000,4,0.0001
23.0006,43092,9.99727e-05,1000,4,0.0001
19.4301,36444,9.99701e-05,1000,4,0.0001
20.5056,38537,9.99994e-05,1000,4,0.0001
21.7758,40827,9.99808e-05,1000,4,0.0001
22.4602,40884,9.99779e-05,1000,4,0.0001
20.0279,37568,9.99833e-05,1000,4,0.0001
22.4777,42162,9.99806e-05,1000,4,0.0001
19.3402,36337,9.99865e-05,1000,4,0.0001
21.0334,39422,9.99846e-05,1000,4,0.0001
20.3292,38086,9.99921e-05,1000,4,0.0001
25.379,47530,9.99956e-05,1000,4,0.0001
25.0585,46724,9.99945e-05,1000,4,0.0001
23.7912,44406,9.99997e-05,1000,4,0.0001
22.327,41997,9.99975e-05,1000,4,0.0001
25.8185,48243,9.99811e-05,1000,4,0.0001
22.8988,42917,9.99743e-05,1000,4,0.0001
26.83,43878,9.99927e-05,1000,4,0.0001
28.3217,48658,9.99936e-05,1000,4,0.0001
24.3808,44958,9.99846e-05,1000,4,0.0001
25.4239,46866,9.99981e-05,1000,4,0.0001
29.3842,53198,9.99888e-05,1000,4,0.0001
25.4439,45334,9.99945e-05,1000,4,0.0001
26.3828,48926,9.998e-05,1000,4,0.0001
24.7663,46229,9.99987e-05,1000,4,0.0001
28.5217,53307,9.99971e-05,1000,4,0.0001
32.8977,61338,9.99957e-05,1000,4,0.0001
26.2999,49073,9.99931e-05,1000,4,0.0001
27.7544,51983,9.99937e-05,1000,4,0.0001
27.5668,51426,9.99854e-05,1000,4,0.0001
28.6574,53314,9.99965e-05,1000,4,0.0001
30.7486,57452,9.99847e-05,1000,4,0.0001
30.6663,57375,9.99956e-05,1000,4,0.0001
31.9077,59137,9.99898e-05,1000,4,0.0001
32.6237,60491,9.99911e-05,1000,4,0.0001
32.9125,61397,9.99912e-05,1000,4,0.0001
31.5426,58383,9.99954e-05,1000,4,0.0001
33.6838,52035,9.99907e-05,1000,4,0.0001
31.3669,58108,9.99914e-05,1000,4,0.0001
32.9678,61183,9.99815e-05,1000,4,0.0001
