time,iterations,norm,size,nodes,threshold
1.70379,5104,0.0999352,1000,4,0.1
1.64213,4825,0.099948,1000,4,0.1
1.74143,4910,0.0999278,1000,4,0.1
1.77188,4747,0.0999127,1000,4,0.1
1.73357,5128,0.0999334,1000,4,0.1
1.80781,4854,0.0999881,1000,4,0.1
2.0335,5285,0.0999467,1000,4,0.1
2.05009,4996,0.0998989,1000,4,0.1
2.21381,4954,0.0999088,1000,4,0.1
2.77187,5225,0.099944,1000,4,0.1
3.67936,7010,0.00999702,1000,4,0.01
3.71926,7075,0.00999641,1000,4,0.01
3.49373,6672,0.00999197,1000,4,0.01
3.77913,7283,0.00999433,1000,4,0.01
3.89416,7349,0.00999399,1000,4,0.01
4.03569,7768,0.00999065,1000,4,0.01
4.13046,7830,0.0099987,1000,4,0.01
3.6841,7102,0.00999466,1000,4,0.01
3.77885,7279,0.00999004,1000,4,0.01
3.7618,7237,0.00999689,1000,4,0.01
5.29122,10087,0.000999626,1000,4,0.001
4.73522,9066,0.000999279,1000,4,0.001
5.01639,9617,0.000999957,1000,4,0.001
5.24927,9890,0.000999034,1000,4,0.001
5.37582,10182,0.000999229,1000,4,0.001
4.60947,8760,0.000999573,1000,4,0.001
4.97944,9446,0.000999914,1000,4,0.001
5.07056,9616,0.000999159,1000,4,0.001
4.77329,9063,0.000999623,1000,4,0.001
5.05183,9587,0.000999002,1000,4,0.001
6.2087,11816,9.99691e-05,1000,4,0.0001
5.87418,11100,9.99847e-05,1000,4,0.0001
6.32693,11910,9.9932e-05,1000,4,0.0001
6.53772,12452,9.99614e-05,1000,4,0.0001
7.00885,13202,9.99416e-05,1000,4,0.0001
6.2255,11859,9.99658e-05,1000,4,0.0001
5.56643,10664,9.99467e-05,1000,4,0.0001
5.97303,11313,9.99879e-05,1000,4,0.0001
6.02987,11520,9.99391e-05,1000,4,0.0001
5.86861,11084,9.99844e-05,1000,4,0.0001
7.02039,13394,9.99711e-06,1000,4,1e-05
6.95314,13252,9.9899e-06,1000,4,1e-05
8.07543,15348,9.99254e-06,1000,4,1e-05
7.1815,13630,9.99216e-06,1000,4,1e-05
7.56634,14457,9.9919e-06,1000,4,1e-05
7.1264,13511,9.99803e-06,1000,4,1e-05
6.9821,13279,9.99135e-06,1000,4,1e-05
6.91798,13062,9.99694e-06,1000,4,1e-05
7.54662,14379,9.99034e-06,1000,4,1e-05
7.27916,13859,9.99024e-06,1000,4,1e-05
8.28077,15685,9.99485e-07,1000,4,1e-06
8.96023,16950,9.99572e-07,1000,4,1e-06
8.16974,15440,9.99285e-07,1000,4,1e-06
7.91715,15016,9.99113e-07,1000,4,1e-06
8.54817,16105,9.991e-07,1000,4,1e-06
8.29657,15663,9.99086e-07,1000,4,1e-06
8.43608,15855,9.99643e-07,1000,4,1e-06
8.61031,16303,9.99467e-07,1000,4,1e-06
8.73188,16521,9.99855e-07,1000,4,1e-06
8.85939,16775,9.99789e-07,1000,4,1e-06
8.89366,16847,9.99461e-08,1000,4,1e-07
10.5453,19954,9.99988e-08,1000,4,1e-07
9.60836,18166,9.99933e-08,1000,4,1e-07
9.28555,17577,9.99759e-08,1000,4,1e-07
9.80242,18392,9.99733e-08,1000,4,1e-07
9.32183,17627,9.99309e-08,1000,4,1e-07
9.51442,18082,9.99506e-08,1000,4,1e-07
10.1027,19121,9.993e-08,1000,4,1e-07
9.8735,18615,9.99537e-08,1000,4,1e-07
9.75252,18363,9.99364e-08,1000,4,1e-07
11.3303,21366,9.99046e-09,1000,4,1e-08
10.7638,20271,9.99409e-09,1000,4,1e-08
10.2587,19345,9.99574e-09,1000,4,1e-08
10.7926,20315,9.99771e-09,1000,4,1e-08
11.1596,21036,9.99736e-09,1000,4,1e-08
11.2439,21193,9.9911e-09,1000,4,1e-08
11.2195,21112,9.99522e-09,1000,4,1e-08
11.2241,21303,9.99636e-09,1000,4,1e-08
10.3734,19602,9.99166e-09,1000,4,1e-08
12.3608,23276,9.99416e-09,1000,4,1e-08
11.8179,22306,9.99805e-10,1000,4,1e-09
11.7172,22237,9.99309e-10,1000,4,1e-09
13.0326,24356,9.99615e-10,1000,4,1e-09
11.8762,21770,9.99084e-10,1000,4,1e-09
12.5774,23499,9.99186e-10,1000,4,1e-09
11.9771,22675,9.99846e-10,1000,4,1e-09
11.8309,22312,9.99153e-10,1000,4,1e-09
11.5934,21844,9.99748e-10,1000,4,1e-09
12.0585,22736,9.99006e-10,1000,4,1e-09
12.3884,23249,9.99337e-10,1000,4,1e-09
13.4057,24852,9.99159e-11,1000,4,1e-10
13.2463,25122,9.99991e-11,1000,4,1e-10
12.9833,24470,9.99532e-11,1000,4,1e-10
13.2005,24908,9.99039e-11,1000,4,1e-10
13.1713,24870,9.99899e-11,1000,4,1e-10
12.6556,23947,9.99844e-11,1000,4,1e-10
12.6252,23894,9.99349e-11,1000,4,1e-10
12.4188,23548,9.99381e-11,1000,4,1e-10
13.1594,24816,9.99279e-11,1000,4,1e-10
14.1565,26441,9.99145e-11,1000,4,1e-10
